scenario	species	classification	domain_k	domain_pooled_effect	domain_ci_low	domain_ci_high	domain_p_value	domain_fdr_q	domain_I2	domain_prediction_low	domain_prediction_high	domain_sign_consistency	positive_domains	negative_domains	significant_positive_domains	significant_negative_domains	family_k	family_pooled_effect	family_p_value	family_fdr_q	family_I2	family_sign_consistency	family_same_direction	family_support_p_lt_0_10	prevalence_meta_effect	prevalence_meta_p	prevalence_meta_fdr_q	prevalence_same_direction	dominant_domain_share	influential_domain	loo_sign_flip
PRIMARY	s__Acidaminococcus_intestini	OTHER_OR_INSUFFICIENT	5	0.10418894885289762	-0.29915898108946937	0.5075368787952645	0.5129103749607732	0.9899399288667535	0.0	-0.35814078654664816	0.5665186842524433	0.6	3	2	0	0	4	0.08390263742582175	0.6205299324119891	0.9868213417628564	0.0	0.5	1	0	0.32445884664922	0.3916858636964291	0.9996325270282626	1			0
PRIMARY	s__Actinobaculum_sp_oral_taxon_183	OTHER_OR_INSUFFICIENT	4	-0.018809694984412414	-0.5137745658756856	0.4761551759068608	0.9113843865419567	0.9899399288667535	0.0	-0.6879999188307551	0.6503805288619302	0.5	2	2	0	0							0	0	-0.00139545952529897	0.9972426956691874	0.9998995945261049	1			0
PRIMARY	s__Actinomyces_SGB17154	OTHER_OR_INSUFFICIENT	6	-0.03797004636081408	-0.38665942684808574	0.3107193341264576	0.7907499448429349	0.9899399288667535	0.0	-0.41458397535295505	0.3386438826313269	0.6666666666666666	2	4	0	0	3	-0.012658690809918322	0.9476171473068555	0.9868213417628564	31.10869506860286	0.6666666666666666	1	0	-0.18479560601015402	0.5679811649594657	0.9996325270282626	1			0
PRIMARY	s__Actinomyces_SGB17157	OTHER_OR_INSUFFICIENT	4	-0.14046929421651225	-0.6521718006242033	0.3712332121911789	0.4466221421670733	0.9899399288667535	1.0626909752246234	-0.9709094083975928	0.6899708199645683	0.75	1	3	0	0	3	-0.07303331508599341	0.6338435068282922	0.9868213417628564	0.0	1.0	1	0	-0.36013983088930285	0.41690856426733597	0.9996325270282626	1	0.3969186215958598	Lee_PRIMM_NL	0
PRIMARY	s__Actinomyces_SGB17163	OTHER_OR_INSUFFICIENT	4	0.10118496900392711	-0.39391580965918976	0.596285747667044	0.5617997690905276	0.9899399288667535	0.0	-0.5681890015159952	0.7705589395238495	0.75	3	1	0	0							0	0	0.26502335562121315	0.554630626964469	0.9996325270282626	1	0.3024833352297574	Lee_PRIMM_UK	0
PRIMARY	s__Actinomyces_SGB17168	OTHER_OR_INSUFFICIENT	4	0.08817443854406992	-0.5553736236245057	0.7317225007126456	0.6922815063636553	0.9899399288667535	35.26243446563969	-1.0091449237575147	1.1854938008456546	0.5	2	2	1	0							0	0	0.37675520791903333	0.39747026879739983	0.9996325270282626	1			0
PRIMARY	s__Actinomyces_dentalis	OTHER_OR_INSUFFICIENT	3	-0.3461138215489671	-1.0771623346150683	0.3849346915171341	0.17854910051783845	0.9899399288667535	0.0	-2.504980147247961	1.8127525041500272	1.0	0	3	0	0							0	0	-0.7755445760718583	0.21850656978926167	0.9996325270282626	1			0
PRIMARY	s__Actinomyces_graevenitzii	DOMAIN_SPECIFIC	5	-0.17190534035681262	-0.8305281166827592	0.48671743596913397	0.5087724238685387	0.9899399288667535	60.19238605019629	-1.6718913926989625	1.328080711985337	0.6	2	3	0	1	3	-0.13458846719503975	0.7601425915772192	0.9868213417628564	75.71355281721206	0.6666666666666666	1	0	-0.214169909422509	0.6937731804986665	0.9996325270282626	1	0.3730596860232139	Matson_US	0
PRIMARY	s__Actinomyces_oris	OTHER_OR_INSUFFICIENT	6	-0.2861929880866042	-0.7131760117581413	0.14079003558493286	0.14550238047676814	0.9899399288667535	29.093271948715067	-1.0244133520900522	0.4520273759168437	0.6666666666666666	2	4	0	1	3	-0.1615730836457718	0.3504943889283547	0.9868213417628564	3.1999944482626947	1.0	1	0	-0.28850571130463337	0.43561831053577116	0.9996325270282626	1	0.3332409410867971	Lee_PRIMM_NL	0
PRIMARY	s__Actinomyces_sp_HMSC035G02	OTHER_OR_INSUFFICIENT	4	-0.2348226350841108	-0.7311218347532068	0.26147656458498514	0.22920439420470248	0.9899399288667535	0.0	-0.9058168652726383	0.4361715951044166	1.0	0	4	0	0							0	0	-0.4920799902098872	0.30555906270726807	0.9996325270282626	1	0.46678617592806115	Lee_PRIMM_NL	0
PRIMARY	s__Actinomyces_sp_ICM47	OTHER_OR_INSUFFICIENT	6	0.13951007739765486	-0.20858878346685172	0.48760893826216145	0.35013545898450293	0.9899399288667535	0.0	-0.2364660406235647	0.5154861954188744	0.6666666666666666	4	2	0	0	3	0.1761956855452275	0.3120695567712022	0.9868213417628564	0.0	0.6666666666666666	1	0	0.36932835708999995	0.2629234765535034	0.9996325270282626	1			0
PRIMARY	s__Actinomyces_sp_ICM58	OTHER_OR_INSUFFICIENT	5	0.05661540504439073	-0.3359186930444922	0.4491495031332736	0.7092925552728978	0.9899399288667535	0.0	-0.39331918563250534	0.5065499957212868	0.6	3	2	0	0	3	0.04306701127435655	0.7740298181237387	0.9868213417628564	0.0	0.6666666666666666	1	0	0.31164462163990203	0.38225130408953056	0.9996325270282626	1			0
PRIMARY	s__Actinomyces_sp_oral_taxon_448	OTHER_OR_INSUFFICIENT	5	-0.09511534042350911	-0.5072357628472042	0.317005082000186	0.5565274158990968	0.9899399288667535	0.0	-0.5675003750158044	0.3772696941687862	0.6	2	3	0	1							0	0	-0.1799168585826788	0.6197171750015799	0.9996325270282626	1			0
